,0
0,All
1,AllMajors
2,ATL
3,BWI
4,BOS
5,CLT
6,MDW
7,ORD
8,DAL
9,DFW
10,DEN
11,DTW
12,FLL
13,IAH
14,LAS
15,LAX
16,MIA
17,MSP
18,JFK
19,LGA
20,EWR
21,MCO
22,PHL
23,PHX
24,PDX
25,SLC
26,SAN
27,SFO
28,SEA
29,TPA
30,DCA
31,IAD
32,AllOthers
33,UXM
34,ABR
35,ABI
36,DYS
37,ADK
38,VZF
39,BQN
40,AKK
41,KKI
42,AKI
43,AKO
44,AKC
45,CAK
46,7AK
47,KQA
48,AUK
49,ALM
50,ALS
51,ABY
52,ALB
53,ABQ
54,ZXB
55,WKK
56,AED
57,AEX
58,AXN
59,AET
60,ABE
61,AIA
62,APN
63,DQH
64,AOO
65,AMA
66,ABL
67,OQZ
68,AOS
69,OTS
70,AKP
71,EDF
72,DQL
73,MRI
74,ANC
75,AND
76,AGN
77,ANI
78,ANN
79,ANB
80,ANV
81,ATW
82,ACV
83,ARC
84,ADM
85,AVL
86,HTS
87,ASE
88,AST
89,AHN
90,AKB
91,PDK
92,FTY
93,GA3
94,ACY
95,ATT
96,ATK
97,MER
98,AUO
99,AGS
100,AUG
101,AUS
102,A28
103,BFL
104,BGR
105,BHB
106,BRW
107,BTI
108,BQV
109,A2K
110,BTR
111,BTL
112,AK2
113,A56
114,BTY
115,BPT
116,BVD
117,WBQ
118,BKW
119,BED
120,A11
121,KBE
122,BLV
123,BLI
124,BLM
125,JVL
126,BVU
127,BJI
128,RDM
129,BEH
130,BET
131,BTT
132,BVY
133,OQB
134,A50
135,BIC
136,BIG
137,BGQ
138,BMX
139,PWR
140,A85
141,BIL
142,BIX
143,BGM
144,KBC
145,BHM
146,BIS
147,BYW
148,BID
149,BMG
150,BMI
151,BFB
152,BYH
153,BCT
154,BOI
155,RLU
156,BXS
157,BLD
158,BYA
159,BWG
160,BZN
161,BFD
162,A23
163,BRD
164,BKG
165,BWC
166,PWT
167,KTS
168,BDR
169,TRI
170,BKX
171,RBH
172,BRO
173,BWD
174,BQK
175,BCE
176,BKC
177,BUF
178,IFP
179,BUR
180,BRL
181,BTV
182,MVW
183,BNO
184,BTM
185,USA
186,UXI
187,CDW
188,C01
189,ADW
190,CDL
191,CGI
192,LUR
193,EHM
194,CZF
195,A61
196,A40
197,CYT
198,MDH
199,CLD
200,CNM
201,A87
202,CPR
203,CDC
204,CID
205,JRV
206,NRR
207,CEM
208,CDR
209,CIK
210,CMI
211,WCR
212,CHS
213,CRW
214,SPB
215,STT
216,CHO
217,CYM
218,CHA
219,CYF
220,WA7
221,CEX
222,EGA
223,NCN
224,KCN
225,VAK
226,CYS
227,PWK
228,DPA
229,LOT
230,CKX
231,CIC
232,CEF
233,KCG
234,KCL
235,WQZ
236,KCQ
237,CZN
238,CIV
239,ZXH
240,SSB
241,STX
242,CHU
243,LUK
244,CVG
245,OQC
246,A12
247,CHP
248,IRC
249,CLP
250,CKB
251,BKL
252,CLE
253,CGF
254,CFT
255,CLK
256,ZXN
257,CVN
258,ZXI
259,OOB
260,COD
261,CFA
262,KCC
263,A69
264,CDB
265,CXF
266,CLL
267,KCR
268,COS
269,COA
270,COU
271,CAE
272,CSG
273,CBM
274,GTR
275,CMH
276,OSU
277,LCK
278,CCR
279,JLA
280,CKU
281,CDV
282,CBA
283,CRP
284,CEZ
285,CVO
286,CIL
287,CGA
288,CEC
289,CKD
290,CUW
291,CPX
292,CBE
293,DCK
294,ADS
295,RBD
296,AFW
297,FTW
298,DGB
299,DAN
300,WQW
301,MGY
302,DAY
303,DAB
304,AA8
305,SCC
306,FVZ
307,A02
308,DTH
309,DTR
310,DCU
311,DEC
312,XXV
313,A36
314,DHB
315,DRG
316,DRT
317,DLF
318,DJN
319,DMN
320,DTO
321,APA
322,FTG
323,DSM
324,DSI
325,DTL
326,DET
327,DTT
328,YIP
329,DVL
330,DIK
331,DLG
332,DIO
333,DDC
334,FVQ
335,DOF
336,DHN
337,DOV
338,DRF
339,A22
340,FQQ
341,DUJ
342,DBQ
343,DLH
344,A4K
345,AMK
346,DRO
347,A99
348,EAA
349,EGE
350,FRG
351,HTO
352,GA0
353,ESN
354,ESD
355,EAU
356,EDA
357,EDW
358,EEK
359,EGX
360,KKU
361,KEK
362,ZXO
363,IPL
364,ELD
365,BIF
366,ELP
367,ELV
368,ELI
369,EKO
370,ELM
371,LYU
372,ELY
373,EMK
374,WDG
375,ERI
376,ESC
377,EUG
378,EVV
379,EVM
380,PAE
381,EXI
382,EIL
383,FAI
384,FBK
385,A01
386,A6K
387,SUU
388,FAJ
389,KFP
390,FWL
391,FAR
392,FMN
393,FYV
394,XNA
395,FAY
396,POB
397,FFM
398,FIC
399,FAQ
400,FLG
401,FNT
402,FLO
403,FNL
404,WRI
405,FOD
406,FQW
407,FHU
408,TBN
409,RSW
410,FPR
411,FSI
412,FSM
413,FWA
414,FWH
415,FYU
416,FKL
417,VZE
418,FAT
419,FRD
420,FBS
421,FNR
422,GNV
423,GVL
424,GBH
425,GAL
426,GUP
427,GAM
428,GEK
429,GCK
430,GYY
431,GCC
432,AQY
433,GGW
434,AZ3
435,GDV
436,GFL
437,AK6
438,FVW
439,GLV
440,GNU
441,GYR
442,FVX
443,JGC
444,GCN
445,AZ1
446,GFK
447,GRI
448,GJT
449,GRR
450,GPZ
451,VWZ
452,GMT
453,XWA
454,KGX
455,GBD
456,GTF
457,GRB
458,GSO
459,GLH
460,PGV
461,GVT
462,GWO
463,GSP
464,UAM
465,GUM
466,GUF
467,GPT
468,GKN
469,GUC
470,GST
471,HGR
472,HNS
473,A03
474,HNM
475,CMX
476,VWD
477,ZXJ
478,HRL
479,MDT
480,HRO
481,BDL
482,PIB
483,HVR
484,HWI
485,HHR
486,HDN
487,HYS
488,HKB
489,HLN
490,T2X
491,HES
492,HIB
493,HKY
494,HIO
495,ITO
496,HHH
497,HBH
498,HOB
499,HGZ
500,HOL
501,HYL
502,HCR
503,HOM
504,HST
505,VWX
506,HNL
507,MKK
508,HNH
509,HPB
510,HOP
511,HOT
512,DWH
513,EFD
514,HOU
515,HUS
516,HSV
517,HON
518,HSL
519,HUT
520,HYA
521,HYG
522,WHD
523,ICY
524,IDA
525,IGG
526,ILI
527,ZXF
528,IND
529,MQJ
530,INL
531,A57
532,IYK
533,IMT
534,IWD
535,ISP
536,SAW
537,ITH
538,KIB
539,A59
540,A26
541,MKL
542,JAC
543,JAN
544,NZC
545,JAX
546,NIP
547,OAJ
548,JMS
549,JHW
550,VZM
551,JON
552,JST
553,JBR
554,JLN
555,JNU
556,OGG
557,KAE
558,A37
559,A35
560,KKK
561,AZO
562,LUP
563,FCA
564,KLG
565,KAL
566,MUE
567,KNB
568,MKC
569,MCI
570,JHM
571,JRF
572,KKL
573,A65
574,KYK
575,KXA
576,KUK
577,VZR
578,VZY
579,FQD
580,VIK
581,MVM
582,EAR
583,EEN
584,ENA
585,KEH
586,KTN
587,WFB
588,DQU
589,EYW
590,NQX
591,QQB
592,IAN
593,GRK
594,ILE
595,A29
596,KVC
597,AKN
598,IGM
599,ISO
600,KPN
601,IRK
602,KKB
603,KVL
604,KZH
605,06A
606,LMT
607,KLW
608,SZL
609,TYS
610,OBU
611,A43
612,ADQ
613,KDK
614,A41
615,KNK
616,KGK
617,KOA
618,KKH
619,KOT
620,OTZ
621,KKA
622,KYU
623,LKK
624,UUK
625,KWT
626,KWK
627,LSE
628,LAF
629,LFT
630,LCH
631,XXW
632,HII
633,LMA
634,TVL
635,LNY
636,ZXK
637,WJF
638,LNS
639,LAN
640,LAR
641,LRD
642,KLN
643,HSH
644,LSV
645,VGT
646,LBE
647,LZU
648,LAW
649,ALZ
650,LEB
651,VA4
652,KLL
653,LWB
654,LWS
655,LEW
656,LWT
657,LEX
658,LBL
659,LIH
660,UXA
661,LVD
662,LNK
663,LIT
664,05A
665,LGU
666,LNI
667,LGB
668,LIJ
669,GGG
670,LPS
671,LPR
672,LAM
673,SDF
674,LBB
675,LYH
676,MCN
677,MSN
678,A75
679,MMH
680,MNZ
681,MHT
682,MHK
683,MBL
684,MLY
685,KMO
686,MZJ
687,MTH
688,MYH
689,MWA
690,MQT
691,MLL
692,MVY
693,MCW
694,MSS
695,MYK
696,MAZ
697,MYL
698,MXY
699,MCK
700,OQA
701,MCG
702,MCL
703,MFR
704,MDR
705,MYU
706,MLB
707,OQL
708,MEM
709,XXX
710,MCE
711,MEI
712,OQM
713,MFH
714,MTM
715,WMK
716,MPB
717,6B0
718,MDO
719,MAF
720,MDY
721,MLS
722,NQA
723,MKE
724,MHM
725,MWL
726,STP
727,MIB
728,MOT
729,MNT
730,MFE
731,MSO
732,CNY
733,BFM
734,MOB
735,MOD
736,VZG
737,MLI
738,MLU
739,CO1
740,MRY
741,MGM
742,MTJ
743,UXR
744,MGW
745,MMU
746,MVL
747,KMY
748,MWH
749,MOS
750,CWA
751,MUO
752,NUQ
753,MOU
754,A13
755,MSL
756,VZC
757,MKG
758,MYR
759,NNK
760,WQR
761,AA2
762,ACK
763,KEB
764,APC
765,WNA
766,KPM
767,PKA
768,APF
769,BNA
770,NKI
771,NLG
772,ENN
773,EWB
774,EWN
775,HVN
776,ARA
777,GON
778,NEW
779,MSY
780,DQN
781,KNW
782,JRB
783,TSS
784,NYC
785,SWF
786,LFI
787,PHF
788,ONP
789,WWT
790,EWK
791,IAG
792,NME
793,NIB
794,IKO
795,NIN
796,RQI
797,WTK
798,OME
799,NNL
800,ORV
801,OFK
802,ORF
803,NGU
804,OTH
805,LBF
806,MA5
807,OHC
808,ORT
809,NUI
810,NUL
811,NUP
812,ZNC
813,ODW
814,OAK
815,OCF
816,OFU
817,HIF
818,OGD
819,OGS
820,OKC
821,OJC
822,JCI
823,OLH
824,KOY
825,XWS
826,OLV
827,OLM
828,OMA
829,ONN
830,ONT
831,OPH
832,ORL
833,OSH
834,KOZ
835,OWB
836,UOX
837,OXR
838,PBK
839,PAH
840,PGA
841,PPG
842,PCE
843,PSP
844,PMD
845,PAQ
846,PFN
847,ECP
848,PAM
849,PKD
850,PKB
851,PSC
852,PRB
853,DQR
854,1G4
855,DQW
856,WQJ
857,PDB
858,PEC
859,PLN
860,PDT
861,PNS
862,NPA
863,PIA
864,KPV
865,VYS
866,GUS
867,PSG
868,PNF
869,PNE
870,LUF
871,DVT
872,AZA
873,SCF
874,PIR
875,PIP
876,UGB
877,PQS
878,SOP
879,AGC
880,PIT
881,PSF
882,PTU
883,PLB
884,PBG
885,PTR
886,PIH
887,A27
888,KPB
889,PHO
890,PIZ
891,POQ
892,PNC
893,PSE
894,PTK
895,PVY
896,PTD
897,PTC
898,PTA
899,CLM
900,KPY
901,KPC
902,PGM
903,PTH
904,A48
905,ORI
906,PML
907,PPV
908,TWD
909,A17
910,KPR
911,PCA
912,WQU
913,PTV
914,PWM
915,PSM
916,PRC
917,PQI
918,PUC
919,BLF
920,PPC
921,PVD
922,PVC
923,PVU
924,PUO
925,A39
926,PUB
927,PUW
928,OQP
929,PGD
930,AK5
931,UIN
932,KWN
933,RDU
934,RMP
935,RCA
936,RAP
937,RSP
938,RDG
939,RDV
940,RDB
941,A76
942,A04
943,RDR
944,RDD
945,RNO
946,RNT
947,RHI
948,RIC
949,RIL
950,RIV
951,RIW
952,ROA
953,RCE
954,RST
955,ROC
956,RKS
957,RFD
958,RKD
959,RWI
960,ROG
961,FAL
962,RMG
963,RME
964,ROL
965,RSJ
966,ROW
967,ROP
968,RBY
969,RUI
970,RSH
971,RSN
972,RUT
973,SAC
974,SMF
975,SAD
976,MBS
977,SPN
978,SLE
979,SLT
980,SLN
981,SNS
982,SBY
983,SMN
984,ZXM
985,SJT
986,SKF
987,SAT
988,NKX
989,MYF
990,NZY
991,SJC
992,WSJ
993,SIG
994,SJU
995,SBP
996,SDP
997,KSR
998,OQS
999,SFB
1000,SNA
1001,SBA
1002,SAF
1003,SMX
1004,SMO
1005,STS
1006,SLK
1007,SRQ
1008,CIU
1009,SVN
1010,SAV
1011,SVA
1012,SCM
1013,BFF
1014,AVP
1015,SYB
1016,BFI
1017,LKE
1018,SDX
1019,A07
1020,WLK
1021,SOV
1022,A31
1023,SQV
1024,SWD
1025,SHX
1026,SKK
1027,A90
1028,A77
1029,SXP
1030,SYA
1031,SHR
1032,PNX
1033,OQV
1034,SHH
1035,SOW
1036,BAD
1037,SHV
1038,SHG
1039,SDY
1040,SVC
1041,SUX
1042,FSD
1043,NKT
1044,SIT
1045,SKJ
1046,SGY
1047,SKW
1048,SLQ
1049,SCJ
1050,MQY
1051,SXQ
1052,SBN
1053,WSN
1054,SVW
1055,GEG
1056,SPI
1057,SGF
1058,UST
1059,STC
1060,STG
1061,SGU
1062,STJ
1063,CPS
1064,SUS
1065,STL
1066,KSM
1067,SMK
1068,SNP
1069,PIE
1070,RMN
1071,STF
1072,SCE
1073,SHD
1074,WSB
1075,WBB
1076,WA6
1077,VZO
1078,SQI
1079,SVS
1080,SWO
1081,SCK
1082,SRV
1083,SSC
1084,SUN
1085,SYR
1086,TCM
1087,TIW
1088,TCT
1089,TKA
1090,TLH
1091,MCF
1092,TAL
1093,TSM
1094,TLJ
1095,TEK
1096,TAV
1097,TWE
1098,TLF
1099,TLA
1100,TEX
1101,TKE
1102,HUF
1103,A30
1104,TEB
1105,TEH
1106,TXK
1107,DLS
1108,TRM
1109,TVF
1110,KTB
1111,TNC
1112,TIQ
1113,TOG
1114,TKJ
1115,TKI
1116,OOK
1117,TOL
1118,TPH
1119,FOE
1120,JZE
1121,TVC
1122,TTN
1123,TTD
1124,TUS
1125,TUL
1126,TLT
1127,UTM
1128,WTL
1129,TNK
1130,TUP
1131,TCL
1132,TWF
1133,TWA
1134,TYR
1135,TYE
1136,UGI
1137,UGS
1138,UMT
1139,UMB
1140,UNK
1141,DUT
1142,UTO
1143,VDZ
1144,VLD
1145,VPS
1146,VPZ
1147,VNY
1148,VUO
1149,VEE
1150,VEL
1151,VRB
1152,VCT
1153,VCV
1154,A67
1155,VQS
1156,VCB
1157,A70
1158,VIS
1159,OQI
1160,CNW
1161,ACT
1162,AIN
1163,AWK
1164,WAA
1165,ALW
1166,WWA
1167,OXC
1168,KWF
1169,ALO
1170,ART
1171,ATY
1172,EAT
1173,ENV
1174,VT1
1175,AWM
1176,PBI
1177,KWP
1178,WYS
1179,WST
1180,BAF
1181,FOK
1182,WSX
1183,WWP
1184,WMO
1185,HPN
1186,DQS
1187,SPS
1188,ICT
1189,WDB
1190,VZN
1191,IPT
1192,ISN
1193,WOW
1194,ILG
1195,ILM
1196,ILN
1197,WGO
1198,INW
1199,INT
1200,WA5
1201,WSM
1202,OLF
1203,ORH
1204,WRL
1205,WRG
1206,YKM
1207,YAK
1208,XWC
1209,WYB
1210,YNG
1211,A63
1212,NYL
1213,YUM
1214,KZB
1215,AK8
